concept,n_ww,n_wn,mean_ww,mean_wn,t_stat,p_welch,p_welch_bonf,u_stat,p_mw,sig_welch,sig_mw
funeral,21,63,0.614172041143623,0.5472919002806163,8.234204080422568,7.044453405794131e-11,1.3384461471008849e-09,1208.0,8.493037329851804e-09,True,True
marriage,21,63,0.6996363255956284,0.5902588456621247,7.059901604989485,1.976700986308125e-09,3.755731873985437e-08,1116.0,1.3671613047320891e-06,True,True
dessert,21,63,0.7151297387580625,0.6702030171581593,5.6784809716696945,1.3223636874172384e-06,2.512491006092753e-05,1130.0,6.675706018411145e-07,True,True
breakfast,21,63,0.6943177797379224,0.6368484458408965,5.450026851483729,2.6011629847693814e-06,4.942209671061825e-05,1092.0,4.458205756126086e-06,True,True
transport,21,63,0.6350516799596122,0.5743480820459272,4.900656251622694,5.512099169523715e-06,0.00010472988422095059,1026.0,8.491324188741725e-05,True,True
headcoverings,21,63,0.49315492576550407,0.4542113077603011,4.451381292178151,2.276687297191416e-05,0.000432570586466369,1021.0,0.00010425445756122323,True,True
eating habits,21,63,0.6579149180231375,0.6054662672525695,4.582732143330011,4.161214910184397e-05,0.0007906308329350355,1082.0,7.169363144585842e-06,True,True
religion,21,63,0.600869718935761,0.5488008591144828,4.282755879876116,6.175238623437276e-05,0.0011732953384530824,1032.0,6.615783858737221e-05,True,True
dance,21,63,0.6376176746563471,0.6139851395453343,2.6426080165455494,0.00516709303149798,0.09817476759846161,889.0,0.00951571017917984,False,False
greeting,21,63,0.5493955609438007,0.4978775562168881,2.4620068606999883,0.009462977081527315,0.179796564549019,920.0,0.0038477495361284803,False,False
lunch,21,63,0.6544036675585897,0.6378179204001929,2.2083885393075233,0.015313213504761563,0.2909510565904697,837.0,0.035322412396283566,False,False
drinks,21,63,0.6636772947227808,0.6250762602189944,2.231716216338697,0.016364806230800964,0.3109313183852183,880.0,0.012162881773358053,False,False
sports,21,63,0.5308085017192219,0.5111878345738291,1.9403610923733676,0.029516783786474442,0.5608188919430144,863.0,0.018931517748882642,False,False
dinner,21,63,0.6432516276935414,0.624290412637601,1.8871652624494542,0.032198854167877114,0.6117782291896652,800.0,0.07700014854489816,False,False
instrument,21,63,0.5926502406888623,0.5696092760726195,1.3944926160612676,0.08690335460349642,1.0,853.0,0.024245835054473697,False,False
clothing,21,63,0.4964655160149498,0.4824663932309903,0.8786844150609581,0.19286831924077885,1.0,744.0,0.19848034135841724,False,False
ritual,21,63,0.526483283461273,0.5299111473298488,-0.23502097620183646,0.5921761418187498,1.0,627.0,0.6411561179026612,False,False
music,21,63,0.5335337789749265,0.5368283126556261,-0.29129573059625447,0.6139194496500517,1.0,634.0,0.613801371662239,False,False
festival,21,63,0.5825244425998297,0.5866163855660043,-0.3881541394675099,0.65023485908642,1.0,625.0,0.6488474966364849,False,False
