region,A photo of a breakfast,A photo of a clothing,A photo of a dance,A photo of a dessert,A photo of a dinner,A photo of a drinks,A photo of a eating habits,A photo of a festival,A photo of a funeral,A photo of a greeting,A photo of a headcoverings,A photo of a instrument,A photo of a lunch,A photo of a marriage,A photo of a music,A photo of a religion,A photo of a ritual,A photo of a sports,A photo of a transport
argentina,0.2639875479956613,0.24298469611440787,0.27810442157320864,0.25655325229966464,0.24058103412638873,0.2105723372540982,0.2278644814990446,0.26202401288652705,0.2539343686213843,0.22474959589830232,0.24546023207862153,0.280804183890676,0.23187319228222336,0.276190731755461,0.25145984492513285,0.24390313297710145,0.25676296437751894,0.2528184735438342,0.264017169643276
australia,0.26390114211776283,0.25323141529260645,0.2745048729173237,0.25074582047409716,0.23692139706623505,0.2682286734737495,0.23704624971442,0.26215510578697837,0.2808106735955668,0.23437546316543792,0.23697603013615842,0.26357215824533475,0.2297355036116612,0.26989648535752897,0.24332802252318567,0.24039125088215343,0.2383136711642582,0.2403359458532173,0.25849032889790596
brazil,0.2523780049814324,0.22257560951992858,0.24455612262401658,0.24996162594858473,0.2477227737566017,0.2669077346916253,0.24079632995961772,0.25555767698661486,0.25267160504420366,0.2335728937776486,0.21132549126806022,0.26354756091365655,0.24493709928458665,0.27961670732433336,0.22886606709310486,0.23548565383946649,0.23546772627247317,0.2360627580983585,0.276586697702129
canada,0.28764148464927364,0.20191764812845917,0.2518937625177149,0.2608957861615948,0.24974016594957502,0.25220067256911366,0.2314389993379128,0.2519479193149536,0.28599298410591684,0.23341658938230433,0.23438631879167202,0.27863193201071185,0.25684456220603896,0.2712037433403894,0.23092920290343857,0.24232460123436497,0.21855095014803813,0.24832548496781906,0.25223670708625656
china,0.23549312865154126,0.22281948014291442,0.2513972814209083,0.23515847993551164,0.2640551762405737,0.24300457202555328,0.2505698951298749,0.26205154792528745,0.2793131163301727,0.253728312647533,0.26276160064582416,0.26734240921857977,0.24526928556443559,0.25297632484569116,0.2511128350950567,0.23964323487774988,0.2385280275474944,0.25162755573775547,0.281194134852572
egypt,0.2322485393902043,0.23796967185995188,0.26037912192054236,0.247629099182768,0.24067959931653804,0.24892127845892062,0.23489702573890414,0.2505275600677559,0.2927683217915093,0.2536010104913916,0.2541228555171529,0.2598532279360824,0.238667545625606,0.270661190277891,0.23413910097850546,0.23990256817050382,0.22999588277105257,0.24485564413054886,0.2586056080611228
fiji,0.24532089726340742,0.23768677441750652,0.24395960810619877,0.24461178847757617,0.24742336353553038,0.24914335201524507,0.22387216133487445,0.24984592998972477,0.29520888106238075,0.22980836813033156,0.24795828659347632,0.25436898448578976,0.24582774083661127,0.2565598446170681,0.2291150033316228,0.22398395546434538,0.2500760809128702,0.24325497129920023,0.26697600779242864
germany,0.2770547649279013,0.24348586617342396,0.2684631169487171,0.2547289706510319,0.24164863117768823,0.2441768996912642,0.24792471834167495,0.252496436512167,0.2981997492776763,0.2482586492617369,0.25575702231486086,0.28569151728974257,0.2376492290705899,0.2776918975351969,0.2419205452130313,0.2234298211239023,0.2504368920261686,0.25072168470633555,0.2595676386741715
india,0.22514742468623847,0.22787125529431548,0.26503353779879485,0.2347638493295534,0.25234404122423076,0.23061447621475306,0.23267937518433393,0.26444152370204094,0.25292735040682734,0.24793908134416684,0.24993134177075702,0.25403097229650434,0.2596870544774644,0.277640089905278,0.24252940782826235,0.224291497390643,0.2550826220936537,0.2599572723327502,0.2797740510960806
japan,0.23372101424136518,0.23408124250264925,0.247758251487748,0.2489777033183642,0.25742437003439816,0.2449487592623593,0.224548414909565,0.2674468205153519,0.3007268714074968,0.25234001291596475,0.26219084702328543,0.27422511867182653,0.27784583468925805,0.250800727095303,0.2343748212650658,0.22018495527733242,0.24905561991908157,0.2599749332541622,0.2549177317717839
new zealand,0.25405826410096605,0.2142722933349143,0.24670807085282295,0.2700787881979649,0.24324238722369504,0.26115052106181286,0.22785153874360184,0.2757698233322039,0.29619493737370156,0.24013669104726,0.21055262540367745,0.22711945765242914,0.24119558203062344,0.2764193362453246,0.23236486022727895,0.24247047133790964,0.2201035382958245,0.24952004264276137,0.2568099486936161
nigeria,0.24244292796574682,0.21774833504444582,0.24613010221497889,0.2407879919192948,0.24071687619508308,0.23152353745095164,0.2182486498405555,0.2625991058053612,0.2988798201060922,0.24119869219900095,0.2410799018358892,0.2603876114686586,0.24521716790864168,0.25530486996792334,0.2436097445088715,0.22164802629041738,0.2623949064028731,0.22092844173287304,0.264596517071023
south africa,0.25009621058754355,0.22147131729368139,0.24985129716521212,0.26513751926550955,0.2341812545807551,0.22688609303297005,0.22231199003572444,0.26855833488728154,0.263500707291024,0.23481069943807956,0.2708208536858994,0.2527146517362641,0.2429005371914661,0.2579024576217835,0.22888706878095877,0.23363506563416284,0.24393292154378246,0.25298016664905326,0.2680498652305697
spain,0.2522748497852025,0.232881945745832,0.26357282464783893,0.26035658514430204,0.24692237895750835,0.2650855303511907,0.2389467238643034,0.26251310670810274,0.28361831917767155,0.24283859732267996,0.25992344980892196,0.2613901150543859,0.23165655005620875,0.2676362241922668,0.2529187371728793,0.24759745305099604,0.25477891616114756,0.25033055281099326,0.26153680608122015
united kingdom,0.2880898438869472,0.2333222629822833,0.2520965620001889,0.27803656420152945,0.2524867712345372,0.22110064197180615,0.25679604314699933,0.26833984236539077,0.29171160210175506,0.2516274041263107,0.22995910102276076,0.2610223199748127,0.24027332384464758,0.256112842420995,0.23923568172400225,0.2263671344885969,0.25826623126182985,0.248901863667312,0.2543278782324688
united states of america,0.2743823128165309,0.24109552844499968,0.27244679805324834,0.2483894800186118,0.2489026470975808,0.26758928146108,0.2398850759782839,0.26213822953069493,0.29305507295689914,0.2569582318225281,0.20636598112186522,0.27896877282851745,0.24068995846857444,0.26812281057585724,0.23017606579519434,0.2522423746869342,0.24154569701754616,0.24099610234621768,0.25633260246532474
